"No.","Time","Source","Destination","Protocol","Length","Info","Data Length","Data","Bytes"
"55","07:23:06.273888","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","",""
"56","07:23:06.274961","WbElectr_00:12:4a ()","localhost ()","HCI_ACL","21","Rcvd  [Reassembled in #57]","","",""
"57","07:23:06.276402","WbElectr_00:12:4a ()","localhost ()","RFCOMM","7","Rcvd UIH Channel=0 -> 1 MPX_CTRL DLC Parameter Negotiation (PN) ","","",""
"58","07:23:06.277315","host","controller","HCI_CMD","6","Sent Authentication Requested","","",""
"59","07:23:06.278742","controller","host","HCI_EVT","7","Rcvd Command Status (Authentication Requested)","","",""
"60","07:23:06.279333","controller","host","HCI_EVT","9","Rcvd Link Key Request","","",""
"61","07:23:06.280729","host","controller","HCI_CMD","26","Sent Link Key Request Reply","","",""
"62","07:23:06.282632","controller","host","HCI_EVT","13","Rcvd Command Complete (Link Key Request Reply)","","",""
"63","07:23:06.297369","controller","host","HCI_EVT","6","Rcvd Authentication Complete","","",""
"64","07:23:06.298247","host","controller","HCI_CMD","7","Sent Set Connection Encryption","","",""
"65","07:23:06.299127","controller","host","HCI_EVT","7","Rcvd Command Status (Set Connection Encryption)","","",""
"66","07:23:06.323843","controller","host","HCI_EVT","7","Rcvd Encryption Change","","",""
"67","07:23:06.324818","localhost ()","WbElectr_00:12:4a ()","RFCOMM","13","Sent SABM Channel=1 (Serial Port) ","","",""
"68","07:23:06.327262","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","",""
"69","07:23:06.331177","WbElectr_00:12:4a ()","localhost ()","RFCOMM","13","Rcvd UA Channel=1 ","","",""
"70","07:23:06.333136","localhost ()","WbElectr_00:12:4a ()","RFCOMM","17","Sent UIH Channel=0 -> 1 MPX_CTRL Modem Status Command (MSC) ","","",""
"71","07:23:06.334792","host","controller","HCI_CMD","12","Sent Sniff Subrating","","",""
"72","07:23:06.336166","WbElectr_00:12:4a ()","localhost ()","RFCOMM","17","Rcvd UIH Channel=0 -> 1 MPX_CTRL Modem Status Command (MSC) ","","",""
"73","07:23:06.339386","localhost ()","WbElectr_00:12:4a ()","RFCOMM","17","Sent UIH Channel=0 -> 1 MPX_CTRL Modem Status Command (MSC) ","","",""
"74","07:23:06.340974","controller","host","HCI_EVT","9","Rcvd Command Complete (Sniff Subrating)","","",""
"75","07:23:06.341753","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","",""
"76","07:23:06.342501","WbElectr_00:12:4a ()","localhost ()","RFCOMM","17","Rcvd UIH Channel=0 -> 1 MPX_CTRL Modem Status Command (MSC) ","","",""
"77","07:23:06.359872","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","",""
"78","07:23:06.472460","localhost ()","WbElectr_00:12:4a ()","SPP","19","Sent ""ATE1\\r""","","",""
"79","07:23:06.489933","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","",""
"80","07:23:06.492959","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""A""","","",""
"81","07:23:06.494076","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""T""","","",""
"82","07:23:06.495143","WbElectr_00:12:4a ()","localhost ()","SPP","16","Rcvd ""E1""","","",""
"83","07:23:06.496008","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""\\r""","","",""
"84","07:23:06.497038","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""O""","","",""
"85","07:23:06.498270","WbElectr_00:12:4a ()","localhost ()","SPP","16","Rcvd ""K\\r""","","",""
"86","07:23:06.499339","WbElectr_00:12:4a ()","localhost ()","SPP","16","Rcvd ""\\r>""","","",""
"87","07:23:06.500311","localhost ()","WbElectr_00:12:4a ()","RFCOMM","14","Sent UIH Channel=1 UID ","","",""
"88","07:23:06.502259","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","",""
"89","07:23:06.585547","localhost ()","WbElectr_00:12:4a ()","SPP","18","Sent ""ATZ\\r""","","",""
"90","07:23:06.588583","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","",""
"91","07:23:06.592593","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""A""","","",""
"92","07:23:06.593462","WbElectr_00:12:4a ()","localhost ()","SPP","17","Rcvd ""TZ\\r""","","",""
"93","07:23:06.691546","localhost ()","WbElectr_00:12:4a ()","SPP","19","Sent ""ATE0\\r""","","",""
"94","07:23:06.696280","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","",""
"95","07:23:06.700058","WbElectr_00:12:4a ()","localhost ()","RFCOMM","15","Rcvd UIH Channel=1 UID ","","",""
"96","07:23:07.384331","WbElectr_00:12:4a ()","localhost ()","SPP","16","Rcvd ""\\r\\r""","","",""
"97","07:23:07.386493","WbElectr_00:12:4a ()","localhost ()","SPP","16","Rcvd ""EL""","","",""
"98","07:23:07.388060","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""M""","","",""
"99","07:23:07.389913","WbElectr_00:12:4a ()","localhost ()","SPP","16","Rcvd ""32""","","",""
"100","07:23:07.392026","WbElectr_00:12:4a ()","localhost ()","SPP","19","Rcvd ""7 v1.""","","",""
"101","07:23:07.394008","WbElectr_00:12:4a ()","localhost ()","SPP","18","Rcvd ""5\\r\\r>""","","",""
"102","07:23:07.396380","localhost ()","WbElectr_00:12:4a ()","RFCOMM","14","Sent UIH Channel=1 UID ","","",""
"103","07:23:07.400569","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","",""
"104","07:23:08.814034","localhost ()","WbElectr_00:12:4a ()","SPP","18","Sent ""ATL0\\r""","","",""
"105","07:23:08.836123","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","",""
"106","07:23:08.837819","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""A""","","",""
"107","07:23:08.839558","WbElectr_00:12:4a ()","localhost ()","SPP","17","Rcvd ""TL0""","","",""
"108","07:23:08.841413","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""\\r""","","",""
"109","07:23:08.842949","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""O""","","",""
"110","07:23:08.844925","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""K""","","",""
"111","07:23:08.861253","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""\\r""","","",""
"112","07:23:08.863547","WbElectr_00:12:4a ()","localhost ()","SPP","16","Rcvd ""\\r>""","","",""
"113","07:23:08.865130","localhost ()","WbElectr_00:12:4a ()","RFCOMM","14","Sent UIH Channel=1 UID ","","",""
"114","07:23:08.867327","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","",""
"115","07:23:08.918403","localhost ()","WbElectr_00:12:4a ()","SPP","18","Sent ""ATI\\r""","","",""
"116","07:23:08.921036","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","",""
